WKT,nama,deskripsi
"POINT (106.8261918 -6.309397799999999)",Kebun Binatang Ragunan,
"POLYGON ((106.8161905 -6.3051555, 106.816212 -6.3058806, 106.816963 -6.3072882, 106.816448 -6.3079067, 106.8158686 -6.3083333, 106.815697 -6.3096343, 106.8161476 -6.3105514, 106.8176496 -6.3104447, 106.8177569 -6.3142411, 106.8177569 -6.3148169, 106.8170703 -6.3150942, 106.8163622 -6.3151581, 106.8163836 -6.3168003, 106.8177784 -6.3164804, 106.8183363 -6.3170989, 106.8222845 -6.3174828, 106.8235719 -6.3174188, 106.8236149 -6.3178667, 106.8249023 -6.3179307, 106.8258035 -6.3112978, 106.8267048 -6.3114258, 106.8271768 -6.3085679, 106.8264473 -6.3085252, 106.82634 -6.3074802, 106.826855 -6.3071389, 106.8246019 -6.3064778, 106.8206966 -6.3064991, 106.8203104 -6.305646, 106.8185508 -6.3056887, 106.8185508 -6.3052834, 106.8161905 -6.3051555))",ragunan,
