WKT,nama,deskripsi
"POINT (106.7974666 -6.216001599999999)",GBK Arena,
"POLYGON ((106.7982033 -6.2148016, 106.7983321 -6.2168495, 106.7983535 -6.2205825, 106.8006066 -6.2215424, 106.8031171 -6.2225876, 106.8047479 -6.2246567, 106.8098763 -6.2211797, 106.8121294 -6.2194519, 106.8101338 -6.2166575, 106.8080739 -6.2137137, 106.8071083 -6.2128605, 106.8064216 -6.2126898, 106.8046621 -6.2130524, 106.8027094 -6.2135004, 106.8002203 -6.2140977, 106.7982033 -6.2148016))",GBK,
